id,active,parent_id,property_id,user_id,title,description,
108,true,9,14,,Painless (Insensibles) ,Reactive scalable analyzer,
55,true,9,27,,Fear and Trembling (Stupeur et tremblements),Programmable interactive throughput,
393,true,9,84,,Terri,Seamless web-enabled info-mediaries,
916,true,9,102,,"Magic Christmas Tree, The",Implemented object-oriented local area network,
656,true,9,131,,Pixote,Implemented client-driven monitoring,
595,true,9,244,,"Autobiography of Miss Jane Pittman, The",Vision-oriented tertiary infrastructure,
446,true,9,261,,Essential Killing,Realigned modular structure,
302,true,9,297,,Rehearsals for Extinct Anatomies,Versatile heuristic emulation,
389,true,9,299,,"Léon Morin, Priest (Léon Morin, prêtre)",User-centric zero tolerance artificial intelligence,
928,true,9,309,,Bird,Secured secondary function,
451,true,9,334,,Ballad of the Little Soldier (Ballade vom kleinen Soldaten),Function-based solution-oriented budgetary management,
617,true,9,375,,Madame Butterfly,Fundamental fresh-thinking toolset,
334,true,9,417,,Grave Secrets (Silent Screams),Virtual bifurcated frame,
268,true,9,458,,Protocol,Compatible mobile productivity,
787,true,9,461,,Venus,Exclusive needs-based interface,
169,true,9,474,,"Relic, The",Vision-oriented holistic moratorium,
786,true,9,500,,Love Meetings (Comizi d\'amore),Organized bottom-line paradigm,
830,true,9,522,,Eraserhead,Virtual zero defect hub,
961,true,9,595,,Sixty Six,Ameliorated tertiary process improvement,
392,true,9,672,,Golden Gate,Focused explicit Graphic Interface,
207,true,9,699,,009 Re: Cyborg,Fully-configurable well-modulated Graphic Interface,
377,true,9,727,,About a Boy,Up-sized directional archive,
573,true,9,762,,Real Fiction (Shilje sanghwang),Cross-group next generation monitoring,
652,true,9,775,,Four Bags Full,Pre-emptive mission-critical approach,
215,true,9,785,,Going Postal,Diverse executive info-mediaries,
798,true,9,807,,Floating Weeds (Ukigusa),Compatible well-modulated forecast,
588,true,9,851,,"Bridges at Toko-Ri, The",Cross-platform composite strategy,
34,true,9,860,,In God\'s Hands,Right-sized optimal open system,
480,true,9,885,,"Welcome Home, Roscoe Jenkins",Synergistic incremental info-mediaries,
281,true,9,897,,"Taste of Tea, The (Cha no aji)",Profit-focused cohesive methodology,
110,true,10,10,,Time Walker (a.k.a. Being From Another Planet),Profound scalable parallelism,
686,true,10,37,,5 Against the House,Horizontal zero defect capability,
601,true,10,48,,I Shot Andy Warhol,Phased global service-desk,
257,true,10,55,,Which Way Home,Front-line 5th generation secured line,
570,true,10,128,,Toy Story of Terror,Compatible radical local area network,
562,true,10,132,,Meat the Truth,Focused cohesive Graphical User Interface,
951,true,10,150,,Ordinary Decent Criminal,Distributed real-time core,
764,true,10,172,,Saving Face,Cross-group asynchronous complexity,
842,true,10,217,,Louis C.K.: Live at The Comedy Store,Open-source executive intranet,
801,true,10,248,,Radiohead: Meeting People Is Easy,Stand-alone asynchronous ability,
672,true,10,288,,One True Thing,Enhanced even-keeled solution,
444,true,10,380,,Joffrey: Mavericks of American Dance,Cross-platform 5th generation architecture,
902,true,10,401,,Animal Crackers,Organic full-range matrices,
936,true,10,414,,White Night (Hvid nat),Expanded full-range initiative,
407,true,10,437,,Afterschool,Ameliorated stable attitude,
574,true,10,458,,My Brilliant Career,Up-sized system-worthy throughput,
15,true,10,504,,"Frighteners, The",Centralized asymmetric algorithm,
541,true,10,644,,"Landlord, The",Multi-layered maximized function,
781,true,10,660,,Pickup on South Street,Balanced even-keeled data-warehouse,
218,true,10,691,,1991: The Year Punk Broke,Networked explicit alliance,
124,true,10,695,,What Is It?,Progressive maximized paradigm,
737,true,10,701,,Tarzan Finds a Son!,Cross-platform asymmetric internet solution,
857,true,10,715,,Batman & Robin,Versatile mission-critical monitoring,
481,true,10,718,,23 Paces to Baker Street,Universal 6th generation concept,
855,true,10,754,,Rock \'n\' Roll Nightmare,Fully-configurable background attitude,
940,true,10,788,,"Wedding Gift, The",Networked disintermediate framework,
482,true,10,809,,Taxidermia,Cloned full-range productivity,
277,true,10,858,,Volver,Open-architected optimal challenge,
630,true,10,874,,Frostbitten (Frostbiten),Customizable executive service-desk,
638,true,10,883,,Bill Maher... But I\'m Not Wrong,Inverse secondary process improvement,
351,true,11,6,,Attack of the Giant Leeches,Synchronised multimedia standardization,
507,true,11,56,,August,De-engineered optimizing standardization,
760,true,11,114,,"Chosen One, The",Decentralized neutral architecture,
309,true,11,129,,Montana,Polarised non-volatile model,
39,true,11,131,,Armour of God (Long xiong hu di),Programmable well-modulated toolset,
294,true,11,155,,Koi... Mil Gaya,Mandatory 24 hour support,
9,true,11,159,,Luke and Lucy: The Texas Rangers (Suske en Wiske: De Texas rakkers),Cross-platform solution-oriented open architecture,
869,true,11,197,,Roadkill (a.k.a. Roadkill: Move or Die),Multi-lateral solution-oriented emulation,
